,,,,,,,,,,,
Date,Type,Name,Action,Unit Price,Quantity/Amount,Total Amount,Fee,Interest/Dividend,Maturity Date,Status,Remarks
15/10/2025,REIT,SUNWAY,Buy,5.54,100,554,,,-,Active,
17/10/2025,Stock,FFB,Buy,2.42,200,484,,,-,Active,
15/10/2025,Stock,FFB,Buy,2.4,200,480,,,-,Active,
09/10/2025,EPF,EPF,Employee contribute,1380,1,1380,-,-,-,Active,
02/10/2025,FD,PBBANK,Buy FD,12000,1,12000,-,-,02/04/2026,Active,-
28/09/2025,FD,MAYBANK,Buy FD,10000,1,10000,-,-,28/03/2026,Active,-
26/09/2025,Stock,PBBANK,Dividend,-,-,-,-,10.5,-,Active,
25/09/2025,Stock,AMWAY,Dividend,-,-,-,-,10,-,Active,
26/09/2025,FD,PBBANK,Buy,7000,1,7000,-,-,26/03/2026,Active,
26/09/2025,Stock,MAYBANK,Dividend,-,-,-,-,120,-,Active,
25/09/2025,EPF,EPF,Self contribute,300,1,300,-,-,-,Active,
24/09/2025,Stock,PBBANK,Dividend,-,-,-,-,22,-,Active,
20/09/2025,FD,PBBANK,Buy FD,6000,1,6000,-,-,20/03/2026,Active,-
17/09/2025,REIT,SUNREIT,But,2.05,200,410,-,-,-,Active,
12/09/2025,EPF,EPF,Employee contribute,3312,1,3312,-,-,-,Active,
12/09/2025,FD,PBBANK,Buy FD,8000,1,8000,-,-,12/03/2026,Active,-
10/09/2025,REIT,PAVREIT,Buy,1.75,100,175,,,-,Active,
28/8/2025,FD,MAYBANK,Buy,5000,1,5000,-,-,28/2/2026,Active,
26/8/2025,Stock,AMWAY,Buy,6.83,200,1366,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,BIMB,Buy,2.47,100,247,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,FFB,Buy,1.47,200,294,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,GENTING,Buy,4.14,100,414,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,KOPI,Buy,0.867,200,173.4,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,MAYBANK,Buy,9.7,100,970,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,PADINI,Buy,2.18,100,218,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,PBBANK,Buy,4.36,100,436,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,SIME,Buy,2.22,100,222,-,-,-,Active,Rakuten Trade by far record
26/8/2025,Stock,BIMB,Buy,2.33,200,466,-,-,-,Active,M+ Global by far record
26/8/2025,Stock,MAYBANK,Buy,9.92,400,3968,-,-,-,Active,M+ Global by far record
26/8/2025,Stock,PBBANK,Buy,4.335,200,867,-,-,-,Active,M+ Global by far record
26/8/2025,Stock,RHBBANK,Buy,6.15,100,615,-,-,-,Active,M+ Global by far record
26/8/2025,Stock,TM,Buy,6.62,200,1324,-,-,-,Active,M+ Global by far record
24/08/2025,EPF,EPF,EPF by far,62824.81,1,62824.81,-,-,-,Active,-
24/08/2025,Other,Buy Gold,999 Gold 10gram,4850,1,4850,-,-,-,Active,-
06/08/2025,EPF,EPF,Self contribute EPF,300,1,300,-,-,-,Mature,EPF record only
06/08/2025,FD,RHB,Buy FD,5000,1,5000,-,-,02/06/2026,Active,-
1/8/2025,Property,The Skies,Pay,-1000,1,-1000,-,-,-,Active,Downpay for 1 time
24/07/2025,EPF,EPF,Self contribute EPF,200,1,200,-,-,-,Mature,EPF record only
07/07/2025,FD,PBBANK,Buy FD,11000,1,11000,-,-,07/01/2026,Active,-
25/06/2025,FD,PBBANK,Buy FD,5000,1,5000,-,-,25/09/2025,Mature,-
13/06/2025,EPF,EPF,Self contribute EPF,500,1,500,-,-,-,Mature,EPF record only
12/06/2025,FD,PBBANK,Buy FD,5000,1,5000,-,-,12/09/2025,Mature,-
28/05/2025,FD,PBBANK,Buy FD,6000,1,6000,-,-,28/11/2025,Active,-
16/05/2025,EPF,EPF,Self contribute EPF,300,1,300,-,-,-,Mature,EPF record only
07/05/2025,FD,MAYBANK,Buy FD,5000,1,5000,-,-,07/11/2025,Active,-
26/04/2025,EPF,EPF,Self contribute EPF,275,1,275,-,-,-,Mature,EPF record only
02/04/2025,FD,MAYBANK,Buy FD,12000,1,12000,-,-,02/10/2025,Mature,-
28/03/2025,FD,PBBANK,Buy FD,10000,1,10000,-,-,28/09/2025,Mature,-
27/03/2025,EPF,EPF,Self contribute EPF,345,1,345,-,-,-,Mature,EPF record only
19/03/2025,FD,PBBANK,Buy FD,5000,1,5000,-,-,19/09/2025,Mature,-
04/03/2025,FD,PBBANK,Buy FD,14000,1,14000,-,-,04/09/2025,Mature,-
02/03/2025,EPF,EPF,Self contribute EPF,300,1,300,-,-,-,Mature,EPF record only
22/02/2025,EPF,EPF,Self contribute EPF,200,1,200,-,-,-,Mature,EPF record only
18/01/2025,EPF,EPF,Self contribute EPF,250,1,250,-,-,-,Mature,EPF record only
28/10/2024,FD,MAYBANK,Buy FD,15000,1,15000,-,-,05/03/2026,Active,-
28/10/2024,FD,PBBANK,Buy FD,10000,1,10000,-,-,28/10/2025,Active,-
